config,policy,plx,branch,feh_true,gi,seed,p_rgb,feh_est,feh_lo,feh_hi,correct
mixture_none,mixture,none,MS,-2.5,0.537,3,0.7392,-2.32,-2.46,-2.12,0
mixture_none,mixture,none,MS,-2.5,0.537,4,0.7146,-2.3,-2.44,-2.08,0
mixture_none,mixture,none,MS,-2.5,0.537,5,0.4938,-2.2,-2.4,-2.0,1
mixture_none,mixture,none,MS,-2.5,0.537,6,0.5523,-2.24,-2.42,-2.02,0
mixture_none,mixture,none,MS,-2.5,0.537,7,0.1491,-1.92,-2.16,-1.66,1
mixture_none,mixture,none,MS,-2.5,0.537,8,0.3238,-2.12,-2.34,-1.92,1
mixture_none,mixture,none,MS,-2.5,0.537,9,0.4794,-2.18,-2.38,-1.96,1
mixture_none,mixture,none,MS,-2.5,0.537,10,0.5839,-2.22,-2.42,-2.0,0
mixture_none,mixture,none,MS,-2.5,0.537,11,0.6697,-2.3,-2.46,-2.1,0
mixture_none,mixture,none,MS,-2.5,0.537,12,0.4404,-2.2,-2.4,-2.0,1
mixture_none,mixture,none,MS,-2.5,0.537,13,0.3999,-2.12,-2.36,-1.92,1
mixture_none,mixture,none,MS,-2.5,0.537,14,0.2125,-1.92,-2.16,-1.7,1
mixture_none,mixture,none,MS,-2.5,0.537,15,0.469,-2.22,-2.42,-2.02,1
mixture_none,mixture,none,MS,-2.5,0.537,16,0.7832,-2.34,-2.46,-2.16,0
mixture_none,mixture,none,MS,-2.5,0.537,17,0.7729,-2.34,-2.46,-2.14,0
mixture_none,mixture,none,MS,-2.5,0.537,18,0.1911,-1.94,-2.2,-1.7,1
mixture_none,mixture,none,MS,-2.5,0.537,19,0.4926,-2.22,-2.42,-2.02,1
mixture_none,mixture,none,MS,-2.5,0.537,20,0.6153,-2.26,-2.44,-2.04,0
mixture_none,mixture,none,MS,-2.5,0.537,21,0.451,-2.16,-2.38,-1.96,1
mixture_none,mixture,none,MS,-2.5,0.537,22,0.5663,-2.22,-2.42,-2.0,0
mixture_none,mixture,none,MS,-2.5,0.537,23,0.536,-2.24,-2.42,-2.02,0
mixture_none,mixture,none,MS,-2.5,0.537,24,0.2933,-2.06,-2.3,-1.84,1
mixture_none,mixture,none,MS,-2.5,0.537,25,0.5723,-2.24,-2.42,-2.04,0
mixture_none,mixture,none,MS,-2.5,0.537,26,0.8171,-2.38,-2.48,-2.22,0
mixture_none,mixture,none,MS,-2.5,0.537,27,0.8289,-2.36,-2.46,-2.18,0
mixture_none,mixture,none,MS,-2.5,0.537,28,0.0157,-1.52,-1.78,-1.3,1
mixture_none,mixture,none,MS,-2.5,0.537,29,0.4252,-2.22,-2.4,-2.02,1
mixture_none,mixture,none,MS,-2.5,0.537,30,0.388,-2.12,-2.34,-1.92,1
mixture_none,mixture,none,MS,-2.5,0.537,31,0.7399,-2.32,-2.46,-2.1,0
mixture_none,mixture,none,MS,-2.5,0.537,32,0.4133,-2.16,-2.38,-1.96,1
mixture_none,mixture,none,MS,-2.5,0.537,33,0.3733,-2.06,-2.3,-1.86,1
mixture_none,mixture,none,MS,-2.5,0.537,34,0.8879,-2.38,-2.48,-2.22,0
mixture_none,mixture,none,MS,-2.5,0.537,35,0.437,-2.16,-2.38,-1.94,1
mixture_none,mixture,none,MS,-2.5,0.537,36,0.822,-2.36,-2.46,-2.16,0
mixture_none,mixture,none,MS,-2.5,0.537,37,0.567,-2.28,-2.44,-2.08,0
mixture_none,mixture,none,MS,-2.5,0.537,38,0.4267,-2.14,-2.36,-1.92,1
mixture_none,mixture,none,MS,-2.5,0.537,39,0.551,-2.24,-2.42,-2.02,0
mixture_none,mixture,none,MS,-2.5,0.537,40,0.1207,-1.86,-2.12,-1.58,1
mixture_none,mixture,none,MS,-2.5,0.537,41,0.4521,-2.2,-2.4,-1.98,1
mixture_none,mixture,none,MS,-2.5,0.537,42,0.4203,-2.14,-2.36,-1.9,1
mixture_none,mixture,none,MS,-2.5,0.537,43,0.7935,-2.36,-2.46,-2.16,0
mixture_none,mixture,none,MS,-2.5,0.537,44,0.6992,-2.32,-2.46,-2.14,0
mixture_none,mixture,none,MS,-2.5,0.537,45,0.503,-2.16,-2.38,-1.96,0
mixture_none,mixture,none,MS,-2.5,0.537,46,0.601,-2.28,-2.44,-2.04,0
