config,policy,plx,branch,feh_true,gi,seed,p_rgb,feh_est,feh_lo,feh_hi,correct
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,13,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,14,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,15,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,16,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,17,1.0,-2.26,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,18,1.0,-1.92,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,19,1.0,-2.48,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,20,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,21,1.0,-2.22,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,22,1.0,-2.38,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,23,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,24,1.0,-2.12,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,25,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,26,1.0,-2.06,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,27,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,28,1.0,-2.44,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,29,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,30,1.0,-2.42,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,31,1.0,-2.5,nan,nan,1
magic-hard_p50,magic-hard,p50,RGB,-2.5,0.537,32,1.0,-2.5,nan,nan,1
